Rank,Movie_name,Year,Certificate,Runtime_in_min,Genre,Rating_from_10
405,Chungking Express,1994,PG-13,102,"Comedy, Crime, Drama",8
406,Andaz Apna Apna,1994,Not Rated,160,"Action, Comedy, Romance",8
407,Scent of a Woman,1992,R,156,Drama,8
408,Aladdin,1992,G,90,"Animation, Adventure, Comedy",8
409,JFK,1991,R,189,"Drama, History, Thriller",8
410,Beauty and the Beast,1991,G,84,"Animation, Family, Fantasy",8
411,Dances with Wolves,1990,PG-13,181,"Adventure, Drama, Western",8
412,Rain Man,1988,R,133,Drama,8
413,Akira,1988,R,124,"Animation, Action, Drama",8
414,The Princess Bride,1987,PG,98,"Adventure, Family, Fantasy",8
415,Wings of Desire,1987,PG-13,128,"Drama, Fantasy, Romance",8
416,"Goodbye, Children",1987,PG,104,"Drama, War",8
417,Castle in the Sky,1986,PG,125,"Animation, Adventure, Family",8
418,Nausicaä of the Valley of the Wind,1984,PG,117,"Animation, Adventure, Sci-Fi",8
419,Nostalghia,1983,Not Rated,125,Drama,8
420,Pink Floyd: The Wall,1982,R,95,"Drama, Fantasy, Music",8
421,Gandhi,1982,PG,191,"Biography, Drama, History",8
422,Fitzcarraldo,1982,PG,158,"Adventure, Drama",8
423,Life of Brian,1979,R,94,Comedy,8
424,Being There,1979,PG,130,"Comedy, Drama",8
425,Annie Hall,1977,PG,93,"Comedy, Romance",8
426,Dog Day Afternoon,1975,R,125,"Biography, Crime, Drama",8
427,Mirror,1975,Not Rated,107,"Biography, Drama",8
428,Young Frankenstein,1974,PG,106,Comedy,8
429,Papillon,1973,R,151,"Biography, Crime, Drama",8
430,Cries & Whispers,1972,R,91,Drama,8
431,Solaris,1972,PG,167,"Drama, Mystery, Sci-Fi",8
432,Sleuth,1972,PG,138,"Mystery, Thriller",8
433,The Last Picture Show,1971,R,118,"Drama, Romance",8
434,Fiddler on the Roof,1971,G,181,"Drama, Family, Musical",8
435,Butch Cassidy and the Sundance Kid,1969,PG,110,"Biography, Crime, Drama",8
436,Rosemary's Baby,1968,Approved,137,"Drama, Horror",8
437,Planet of the Apes,1968,G,112,"Adventure, Sci-Fi",8
438,Le Samouraï,1967,GP,101,"Crime, Drama",8
439,The Graduate,1967,PG,106,"Comedy, Drama, Romance",8
440,Who's Afraid of Virginia Woolf?,1966,Not Rated,131,Drama,8
441,The Leopard,1963,PG,186,"Drama, History",8
442,8½,1963,Not Rated,138,Drama,8
443,The Exterminating Angel,1962,Not Rated,95,"Drama, Fantasy",8
444,What Ever Happened to Baby Jane?,1962,Passed,134,"Drama, Horror, Thriller",8
445,Sanjuro,1962,Not Rated,96,"Action, Drama, Thriller",8
446,Ivan's Childhood,1962,Not Rated,95,"Drama, War",8
447,Through a Glass Darkly,1961,Not Rated,90,Drama,8
448,The Hustler,1961,Not Rated,134,"Drama, Sport",8
449,La dolce vita,1960,Not Rated,174,"Comedy, Drama",8
450,Rio Bravo,1959,Passed,141,Western,8
451,Anatomy of a Murder,1959,Not Rated,161,"Drama, Mystery",8
452,Touch of Evil,1958,PG-13,95,"Crime, Drama, Film-Noir",8
453,Sweet Smell of Success,1957,Approved,96,"Drama, Film-Noir",8
454,The Killing,1956,Approved,84,"Crime, Drama, Film-Noir",8
455,The Night of the Hunter,1955,Not Rated,92,"Crime, Drama, Film-Noir",8
456,La strada,1954,Not Rated,108,Drama,8
457,Stalag 17,1953,Not Rated,120,"Comedy, Drama, War",8
458,Roman Holiday,1953,Passed,118,"Comedy, Romance",8
459,High Noon,1952,PG,85,"Drama, Thriller, Western",8
460,Kind Hearts and Coronets,1949,Not Rated,106,"Comedy, Crime",8
461,Out of the Past,1947,Not Rated,97,"Crime, Drama, Film-Noir",8
462,"Rome, Open City",1945,Not Rated,103,"Drama, Thriller, War",8
463,Brief Encounter,1945,Not Rated,86,"Drama, Romance",8
464,The Maltese Falcon,1941,Passed,100,"Crime, Film-Noir, Mystery",8
465,The Shop Around the Corner,1940,Not Rated,99,"Comedy, Drama, Romance",8
466,The Cabinet of Dr. Caligari,1920,Not Rated,67,"Horror, Mystery, Thriller",8
467,Knives Out,2019,PG-13,130,"Comedy, Crime, Drama",7.9
468,RRR,2022,Not Rated,187,"Action, Drama",7.9
469,Shoplifters,2018,R,121,"Crime, Drama, Thriller",7.9
470,Badhaai Ho,2018,Not Rated,124,"Comedy, Drama",7.9
471,Marriage Story,2019,R,137,"Drama, Romance",7.9
472,Super 30,2019,Not Rated,154,"Biography, Drama",7.9
473,Pad Man,2018,PG-13,140,"Biography, Comedy, Drama",7.9
474,A Taxi Driver,2017,Not Rated,137,"Action, Drama, History",7.9
475,Togo,2019,PG,113,"Adventure, Biography, Drama",7.9
476,Airlift,2016,Not Rated,130,"Action, Drama, History",7.9
477,M.S. Dhoni: The Untold Story,2016,Not Rated,184,"Biography, Drama, Sport",7.9
478,Baby,I 2015,Not Rated,159,"Action, Crime, Thriller",7.9
479,Sing Street,2016,PG-13,106,"Comedy, Drama, Music",7.9
480,Thor: Ragnarok,2017,PG-13,130,"Action, Adventure, Comedy",7.9
481,Jojo Rabbit,2019,PG-13,108,"Comedy, Drama, War",7.9
482,Wonder,I 2017,PG,113,"Drama, Family",7.9
483,Arrival,II 2016,PG-13,116,"Drama, Mystery, Sci-Fi",7.9
484,Gully Boy,2019,Not Rated,154,"Drama, Music, Romance",7.9
485,Short Term 12,2013,R,96,Drama,7.9
486,The Raid 2,2014,R,150,"Action, Crime, Thriller",7.9
487,Before Midnight,2013,R,109,"Drama, Romance",7.9
488,X-Men: Days of Future Past,2014,PG-13,132,"Action, Adventure, Sci-Fi",7.9
489,Bohemian Rhapsody,2018,PG-13,134,"Biography, Drama, Music",7.9
490,The Way He Looks,2014,Not Rated,96,"Drama, Romance",7.9
491,The Perks of Being a Wallflower,2012,PG-13,103,Drama,7.9
492,The Artist,I 2011,PG-13,100,"Comedy, Drama, Romance",7.9
493,Edge of Tomorrow,2014,PG-13,113,"Action, Adventure, Sci-Fi",7.9
494,Avatar: The Way of Water,2022,PG-13,192,"Action, Adventure, Fantasy",7.9
495,Amour,2012,PG-13,127,Drama,7.9
496,About Elly,2009,TV-PG,119,"Drama, Mystery",7.9
497,Dev.D,2009,Not Rated,144,"Comedy, Drama, Romance",7.9
498,My Name Is Khan,2010,PG-13,165,"Adventure, Drama, Romance",7.9
499,The Banshees of Inisherin,2022,R,114,"Comedy, Drama",7.9
500,Let the Right One In,2008,R,114,"Drama, Fantasy, Horror",7.9
501,District 9,2009,R,112,"Action, Sci-Fi, Thriller",7.9
502,The Wrestler,2008,R,109,"Drama, Sport",7.9
503,Jab We Met,2007,Not Rated,138,"Comedy, Drama, Romance",7.9
504,Boyhood,I 2014,R,165,Drama,7.9
505,"4 Months, 3 Weeks and 2 Days",2007,Not Rated,113,Drama,7.9
506,Star Trek,2009,PG-13,127,"Action, Adventure, Sci-Fi",7.9
507,Dallas Buyers Club,2013,R,117,"Biography, Drama",7.9
508,In Bruges,2008,R,107,"Comedy, Crime, Drama",7.9
509,The Man from Earth,2007,Not Rated,87,"Drama, Fantasy, Mystery",7.9
510,Avatar,2009,PG-13,162,"Action, Adventure, Fantasy",7.9
511,Letters from Iwo Jima,2006,R,141,"Action, Adventure, Drama",7.9
512,Life of Pi,2012,PG,127,"Adventure, Drama, Fantasy",7.9
513,Fantastic Mr. Fox,2009,PG,87,"Animation, Adventure, Comedy",7.9
514,3-Iron,2004,R,88,"Crime, Drama, Romance",7.9
515,C.R.A.Z.Y.,2005,Not Rated,129,"Comedy, Drama",7.9
516,The Return,2003,Not Rated,110,Drama,7.9
517,Iron Man,2008,PG-13,126,"Action, Adventure, Sci-Fi",7.9
518,Shaun of the Dead,2004,R,99,"Comedy, Horror",7.9
519,Kal Ho Naa Ho,2003,Not Rated,186,"Comedy, Drama, Musical",7.9
520,Head-On,2004,R,121,"Drama, Romance",7.9
521,Mystic River,2003,R,138,"Crime, Drama, Mystery",7.9
522,Harry Potter and the Prisoner of Azkaban,2004,PG,142,"Adventure, Family, Fantasy",7.9
523,Hero,2002,PG-13,120,"Action, Adventure, Drama",7.9
524,Talk to Her,2002,R,112,"Drama, Mystery, Romance",7.9
525,No Man's Land,I 2001,R,98,"Comedy, Drama, War",7.9
526,The Bourne Identity,2002,PG-13,119,"Action, Mystery, Thriller",7.9
527,Nine Queens,2000,R,114,"Crime, Drama, Thriller",7.9
528,Children of Men,2006,R,109,"Action, Drama, Sci-Fi",7.9
529,"Crouching Tiger, Hidden Dragon",2000,PG-13,120,"Action, Adventure, Drama",7.9
530,Almost Famous,2000,R,122,"Adventure, Comedy, Drama",7.9
531,Dancer in the Dark,2000,R,140,"Crime, Drama, Musical",7.9
532,Mulholland Drive,2001,R,147,"Drama, Mystery, Thriller",7.9
533,Shrek,2001,PG,90,"Animation, Adventure, Comedy",7.9
534,Toy Story 2,1999,G,92,"Animation, Adventure, Comedy",7.9
535,Titanic,1997,PG-13,194,"Drama, Romance",7.9
536,Knockin' on Heaven's Door,1997,Not Rated,87,"Action, Crime, Comedy",7.9
537,Boogie Nights,1997,R,155,Drama,7.9
538,Whisper of the Heart,1995,G,111,"Animation, Drama, Family",7.9
539,Ghost in the Shell,1995,TV-MA,83,"Animation, Action, Crime",7.9
540,Once Were Warriors,1994,R,102,"Crime, Drama",7.9
541,True Romance,1993,R,119,"Crime, Drama, Romance",7.9
542,Three Colors: Blue,1993,R,94,"Drama, Music, Mystery",7.9
543,The Nightmare Before Christmas,1993,PG,76,"Animation, Family, Fantasy",7.9
544,Carlito's Way,1993,R,144,"Crime, Drama, Thriller",7.9
545,"Blood In, Blood Out",1993,R,180,"Crime, Drama",7.9
546,Edward Scissorhands,1990,PG-13,105,"Drama, Fantasy, Romance",7.9
547,My Left Foot,1989,R,103,"Biography, Drama",7.9
548,Do the Right Thing,1989,R,120,"Comedy, Drama",7.9
549,The Sacrifice,1986,PG,149,Drama,7.9
550,Hannah and Her Sisters,1986,PG-13,107,"Comedy, Drama",7.9
551,Brazil,1985,R,132,"Drama, Sci-Fi",7.9
552,This Is Spinal Tap,1984,R,82,"Comedy, Music",7.9
553,A Christmas Story,1983,PG,93,"Comedy, Family",7.9
554,E.T. the Extra-Terrestrial,1982,PG,115,"Adventure, Family, Sci-Fi",7.9
555,Kagemusha,1980,PG,162,"Drama, History, War",7.9
556,The Blues Brothers,1980,R,133,"Action, Adventure, Comedy",7.9
557,Manhattan,1979,R,96,"Comedy, Drama, Romance",7.9
558,All the President's Men,1976,PG,138,"Drama, History, Thriller",7.9
559,I Remember,1973,R,123,"Comedy, Drama",7.9
560,Harold and Maude,1971,PG,91,"Comedy, Drama, Romance",7.9
561,Patton,1970,GP,172,"Biography, Drama, War",7.9
562,The Conformist,1970,R,113,Drama,7.9
563,Le Cercle Rouge,1970,Not Rated,140,"Crime, Drama, Thriller",7.9
564,The Wild Bunch,1969,R,135,"Action, Adventure, Western",7.9
565,The Lion in Winter,1968,PG,134,"Biography, Drama, History",7.9
566,In the Heat of the Night,1967,Approved,110,"Drama, Mystery, Thriller",7.9
567,In Cold Blood,1967,R,134,"Biography, Crime, Drama",7.9
568,Doctor Zhivago,1965,PG-13,197,"Drama, Romance, War",7.9
569,A Fistful of Dollars,1964,R,99,"Action, Drama, Western",7.9
570,Charade,1963,Passed,113,"Comedy, Mystery, Romance",7.9
571,Vivre Sa Vie,1962,Not Rated,85,Drama,7.9
572,The Manchurian Candidate,1962,PG-13,126,"Drama, Thriller",7.9
573,Spartacus,1960,PG-13,197,"Adventure, Biography, Drama",7.9
574,Hiroshima Mon Amour,1959,Not Rated,90,"Drama, Romance",7.9
575,Cat on a Hot Tin Roof,1958,Not Rated,108,Drama,7.9
576,Elevator to the Gallows,1958,Not Rated,91,"Crime, Drama, Thriller",7.9
577,The Ten Commandments,1956,G,220,"Adventure, Drama, Family",7.9
578,The Searchers,1956,Passed,119,"Adventure, Drama, Western",7.9
579,The Big Heat,1953,Passed,89,"Crime, Film-Noir, Thriller",7.9
580,A Streetcar Named Desire,1951,PG,122,Drama,7.9
581,Strangers on a Train,1951,PG,101,"Crime, Drama, Film-Noir",7.9
582,In a Lonely Place,1950,Not Rated,94,"Drama, Film-Noir, Mystery",7.9
583,Harvey,1950,Approved,104,"Comedy, Drama, Fantasy",7.9
584,Rope,1948,Approved,80,"Crime, Drama, Mystery",7.9
585,Miracle on 34th Street,1947,Not Rated,96,"Comedy, Drama, Family",7.9
586,Notorious,1946,Not Rated,102,"Drama, Film-Noir, Romance",7.9
587,The Big Sleep,1946,Passed,114,"Crime, Film-Noir, Mystery",7.9
588,Beauty and the Beast,1946,Not Rated,93,"Drama, Fantasy, Romance",7.9
589,Mildred Pierce,1945,Approved,111,"Crime, Drama, Film-Noir",7.9
590,The Lost Weekend,1945,Passed,101,"Drama, Film-Noir",7.9
591,Laura,1944,Passed,88,"Drama, Film-Noir, Mystery",7.9
592,Arsenic and Old Lace,1944,Not Rated,118,"Comedy, Crime, Thriller",7.9
593,Sullivan's Travels,1941,Passed,90,"Adventure, Comedy, Drama",7.9
594,The Philadelphia Story,1940,Not Rated,112,"Comedy, Romance",7.9
595,The Rules of the Game,1939,Not Rated,110,"Comedy, Drama",7.9
596,The Adventures of Robin Hood,1938,PG,102,"Action, Adventure, Romance",7.9
597,The Thin Man,1934,TV-PG,91,"Comedy, Crime, Mystery",7.9
598,King Kong,1933,Passed,100,"Adventure, Horror, Sci-Fi",7.9
599,Battleship Potemkin,1925,Not Rated,66,"Drama, History, Thriller",7.9
600,Nosferatu,1922,Not Rated,94,"Fantasy, Horror",7.9
601,The Gentlemen,2019,R,113,"Action, Comedy, Crime",7.8
602,Hindi Medium,2017,Not Rated,132,"Comedy, Drama",7.8
603,Call Me by Your Name,2017,R,132,"Drama, Romance",7.8
604,"I, Daniel Blake",2016,R,100,Drama,7.8
605,Isle of Dogs,2018,PG-13,101,"Animation, Adventure, Comedy",7.8
606,Dunkirk,2017,PG-13,106,"Action, Drama, History",7.8
607,Hidden Figures,2016,PG,127,"Biography, Drama, History",7.8
608,Hunt for the Wilderpeople,2016,PG-13,101,"Adventure, Comedy, Drama",7.8
609,Paddington 2,2017,PG,103,"Adventure, Comedy, Family",7.8
610,Manchester by the Sea,2016,R,137,Drama,7.8
611,Land of Mine,2015,R,100,"Drama, History, War",7.8
612,Rogue One: A Star Wars Story,2016,PG-13,133,"Action, Adventure, Sci-Fi",7.8
613,Captain Fantastic,2016,R,118,"Comedy, Drama",7.8
614,Captain America: Civil War,2016,PG-13,147,"Action, Adventure, Sci-Fi",7.8
615,The Hateful Eight,2015,R,168,"Crime, Drama, Mystery",7.8
616,Little Women,2019,PG,135,"Drama, Romance",7.8
617,Loving Vincent,2017,PG-13,94,"Animation, Biography, Crime",7.8
618,Pride,I 2014,R,119,"Biography, Comedy, Drama",7.8
619,Nightcrawler,2014,R,117,"Crime, Drama, Thriller",7.8
620,Star Wars: Episode VII - The Force Awakens,2015,PG-13,138,"Action, Adventure, Sci-Fi",7.8
621,The Lunchbox,2013,PG,104,"Drama, Romance",7.8
622,"Like Father, Like Son",2013,Not Rated,121,Drama,7.8
623,Vicky Donor,2012,Not Rated,126,"Comedy, Romance",7.8
624,Big Hero 6,2014,PG,102,"Animation, Action, Adventure",7.8
625,About Time,I 2013,R,123,"Comedy, Drama, Fantasy",7.8
626,English Vinglish,2012,Not Rated,134,"Comedy, Drama, Family",7.8
627,The Best Offer,2013,R,131,"Crime, Drama, Mystery",7.8
628,The Batman,2022,PG-13,176,"Action, Crime, Drama",7.8
629,Captain America: The Winter Soldier,2014,PG-13,136,"Action, Adventure, Sci-Fi",7.8
630,Once Upon a Time in Anatolia,2011,Not Rated,157,"Crime, Drama, Thriller",7.8
631,Moonrise Kingdom,2012,PG-13,94,"Comedy, Drama, Romance",7.8
632,How to Train Your Dragon 2,2014,PG,102,"Animation, Action, Adventure",7.8
633,The Big Short,2015,R,130,"Biography, Comedy, Drama",7.8
634,I Saw the Devil,2010,Not Rated,144,"Action, Crime, Drama",7.8
635,The Girl with the Dragon Tattoo,2011,R,158,"Crime, Drama, Mystery",7.8
636,Captain Phillips,2013,PG-13,134,"Action, Biography, Crime",7.8
637,Straight Outta Compton,2015,R,147,"Biography, Drama, History",7.8
638,The Irishman,2019,R,209,"Biography, Crime, Drama",7.8
639,The Social Network,2010,PG-13,120,"Biography, Drama",7.8
640,A Prophet,2009,R,155,"Crime, Drama",7.8
641,Thirteen Lives,2022,PG-13,147,"Action, Adventure, Biography",7.8
642,Mother,2009,R,129,"Crime, Drama, Mystery",7.8
643,The Chaser,2008,Not Rated,125,"Action, Crime, Drama",7.8
644,Moon,2009,R,97,"Drama, Mystery, Sci-Fi",7.8
645,The Hobbit: The Desolation of Smaug,2013,PG-13,161,"Adventure, Fantasy",7.8
646,The White Ribbon,2009,R,144,"Drama, Mystery, Thriller",7.8
647,The Girl with the Dragon Tattoo,2009,R,152,"Crime, Drama, Mystery",7.8
648,Skyfall,2012,PG-13,143,"Action, Adventure, Thriller",7.8
649,The Worst Person in the World,2021,R,128,"Comedy, Drama, Romance",7.8
650,All Quiet on the Western Front,2022,R,148,"Action, Drama, War",7.8
651,The Fighter,I 2010,R,116,"Action, Biography, Drama",7.8
652,Taken,I 2008,PG-13,90,"Action, Crime, Thriller",7.8
653,Once,I 2007,R,86,"Drama, Music, Romance",7.8
654,The Hobbit: An Unexpected Journey,2012,PG-13,169,"Adventure, Fantasy",7.8
655,Changeling,2008,R,141,"Biography, Crime, Drama",7.8
656,Atonement,2007,R,123,"Drama, Mystery, Romance",7.8
657,Drive,I 2011,R,100,"Action, Drama",7.8
658,American Gangster,2007,R,157,"Biography, Crime, Drama",7.8
659,Mr. Nobody,2009,R,141,"Drama, Fantasy, Romance",7.8
660,Apocalypto,2006,R,139,"Action, Adventure, Drama",7.8
661,The Fall,I 2006,R,117,"Adventure, Drama, Fantasy",7.8
662,Little Miss Sunshine,2006,R,101,"Comedy, Drama",7.8
663,Hot Fuzz,2007,R,121,"Action, Comedy, Mystery",7.8
664,The Curious Case of Benjamin Button,2008,PG-13,166,"Drama, Fantasy, Romance",7.8
665,Veer Zaara,2004,Not Rated,192,"Drama, Family, Musical",7.8
666,Pride & Prejudice,2005,PG,129,"Drama, Romance",7.8
667,The World's Fastest Indian,2005,PG-13,127,"Biography, Drama, Sport",7.8
668,Tokyo Godfathers,2003,PG-13,92,"Animation, Adventure, Comedy",7.8
669,Serenity,2005,PG-13,119,"Action, Adventure, Sci-Fi",7.8
670,Crash,I 2004,R,112,"Crime, Drama, Thriller",7.8
671,The Chorus,2004,PG-13,97,"Comedy, Drama, Music",7.8
672,Walk the Line,2005,PG-13,136,"Biography, Drama, Music",7.8
673,The Notebook,2004,PG-13,123,"Drama, Romance",7.8
674,The Last Samurai,2003,R,154,"Action, Drama",7.8
675,The Motorcycle Diaries,2004,R,126,"Adventure, Biography, Drama",7.8
676,Lilya 4-Ever,2002,R,109,"Crime, Drama",7.8
677,Millennium Actress,2001,PG,87,"Animation, Drama, Fantasy",7.8
678,Cowboy Bebop: The Movie,2001,TV-14,115,"Animation, Action, Crime",7.8
679,Joint Security Area,2000,Not Rated,110,"Action, Drama, Thriller",7.8
680,Remember the Titans,2000,PG,113,"Biography, Drama, Sport",7.8
681,All About My Mother,1999,R,101,Drama,7.8
682,Cast Away,2000,PG-13,143,"Adventure, Drama, Romance",7.8
683,The Insider,1999,R,157,"Biography, Drama, Thriller",7.8
684,October Sky,1999,PG,108,"Biography, Drama, Family",7.8
685,Being John Malkovich,1999,R,113,"Comedy, Drama, Fantasy",7.8
686,Gattaca,1997,PG-13,106,"Drama, Sci-Fi, Thriller",7.8
687,Hamlet,1996,PG-13,242,Drama,7.8
688,Breaking the Waves,1996,R,159,Drama,7.8
689,The Postman,1994,PG,108,"Biography, Comedy, Drama",7.8
690,Ed Wood,1994,R,127,"Biography, Comedy, Drama",7.8
691,Tombstone,1993,R,130,"Biography, Drama, History",7.8
692,The Sandlot,1993,PG,101,"Comedy, Drama, Family",7.8
693,The Remains of the Day,1993,PG,134,"Drama, Romance",7.8
694,Ninja Scroll,1993,Not Rated,94,"Animation, Action, Adventure",7.8
695,The Fugitive,1993,PG-13,130,"Action, Crime, Drama",7.8
696,A Bronx Tale,1993,R,121,"Crime, Drama",7.8
697,Batman: Mask of the Phantasm,1993,PG,76,"Animation, Action, Adventure",7.8
698,Boyz n the Hood,1991,R,112,"Crime, Drama",7.8
699,Misery,1990,R,107,"Drama, Thriller",7.8
700,Awakenings,1990,PG-13,121,"Biography, Drama",7.8
701,Kiki's Delivery Service,1989,G,103,"Animation, Adventure, Family",7.8
702,Glory,1989,R,122,"Biography, Drama, History",7.8
703,The Killer,1989,R,111,"Action, Crime, Drama",7.8
704,Crimes and Misdemeanors,1989,PG-13,104,"Comedy, Drama",7.8
705,Back to the Future Part II,1989,PG,108,"Adventure, Comedy, Sci-Fi",7.8
706,Mississippi Burning,1988,R,128,"Crime, Drama, Mystery",7.8
707,The Untouchables,1987,R,119,"Crime, Drama, Thriller",7.8
708,Predator,1987,R,107,"Action, Adventure, Horror",7.8
709,Ferris Bueller's Day Off,1986,PG-13,103,Comedy,7.8
710,The Breakfast Club,1985,R,97,"Comedy, Drama",7.8
711,The Killing Fields,1984,R,141,"Biography, Drama, History",7.8
712,Ghostbusters,1984,PG,105,"Action, Comedy, Fantasy",7.8
713,The Right Stuff,1983,PG,193,"Adventure, Biography, Drama",7.8
714,The King of Comedy,1982,PG,109,"Comedy, Crime, Drama",7.8
715,Kramer vs. Kramer,1979,PG,105,Drama,7.8
716,All That Jazz,1979,R,123,"Drama, Music, Musical",7.8
717,Days of Heaven,1978,PG,94,"Drama, Romance",7.8
718,Dawn of the Dead,1978,Unrated,127,"Horror, Thriller",7.8
719,The Outlaw Josey Wales,1976,PG,135,Western,7.8
720,The Man Who Would Be King,1975,PG,129,"Adventure, War",7.8
721,The Holy Mountain,1973,R,114,"Adventure, Drama, Fantasy",7.8
722,The Conversation,1974,PG,113,"Drama, Mystery, Thriller",7.8
723,The Day of the Jackal,1973,PG,143,"Crime, Drama, Thriller",7.8
724,The Discreet Charm of the Bourgeoisie,1972,PG,102,Comedy,7.8
725,Cabaret,1972,PG,124,"Drama, Music, Musical",7.8
726,"Aguirre, the Wrath of God",1972,Not Rated,95,"Action, Adventure, Biography",7.8
727,Willy Wonka & the Chocolate Factory,1971,G,100,"Family, Fantasy, Musical",7.8
728,Midnight Cowboy,1969,R,113,Drama,7.8
729,Night of the Living Dead,1968,Not Rated,96,"Horror, Thriller",7.8
730,Guess Who's Coming to Dinner,1967,Approved,108,"Comedy, Drama",7.8
731,The Umbrellas of Cherbourg,1964,Not Rated,91,"Drama, Musical, Romance",7.8
732,My Fair Lady,1964,G,170,"Drama, Family, Musical",7.8
733,Mary Poppins,1964,G,139,"Comedy, Family, Fantasy",7.8
734,The Innocents,1961,Not Rated,100,Horror,7.8
735,L'Avventura,1960,Not Rated,144,"Drama, Mystery, Romance",7.8
736,East of Eden,1955,PG,118,Drama,7.8
737,The Day the Earth Stood Still,1951,G,92,"Drama, Sci-Fi",7.8
738,The Asphalt Jungle,1950,Passed,112,"Crime, Drama, Film-Noir",7.8
739,Red River,1948,Passed,133,"Drama, Western",7.8
740,To Have and Have Not,1944,Passed,100,"Adventure, Comedy, Film-Noir",7.8
741,Gaslight,1944,Passed,114,"Crime, Drama, Mystery",7.8
742,Shadow of a Doubt,1943,Passed,108,"Film-Noir, Thriller",7.8
743,His Girl Friday,1940,Passed,92,"Comedy, Drama, Romance",7.8
744,Stagecoach,1939,Passed,96,"Adventure, Drama, Western",7.8
745,You Can't Take It with You,1938,Passed,126,"Comedy, Drama, Romance",7.8
746,The Lady Vanishes,1938,Not Rated,96,"Mystery, Thriller",7.8
747,Bringing Up Baby,1938,Passed,102,Comedy,7.8
748,A Night at the Opera,1935,Passed,96,"Comedy, Music, Musical",7.8
749,The Bride of Frankenstein,1935,Not Rated,75,"Drama, Horror, Sci-Fi",7.8
750,Duck Soup,1933,Not Rated,69,"Comedy, Musical",7.8
751,Freaks,1932,Not Rated,64,"Drama, Horror",7.8
752,Frankenstein,1931,Passed,70,"Drama, Horror, Sci-Fi",7.8
753,Dragon Ball Super: Broly,2018,PG,100,"Animation, Action, Adventure",7.7
754,Roma,2018,R,135,Drama,7.7
755,Deadpool 2,2018,R,119,"Action, Adventure, Comedy",7.7
756,Sound of Metal,2019,R,120,"Drama, Music",7.7
757,Wind River,2017,R,107,"Crime, Drama, Mystery",7.7
758,The Salesman,2016,PG-13,124,"Drama, Thriller",7.7
759,Get Out,I 2017,R,104,"Horror, Mystery, Thriller",7.7
760,Mission: Impossible - Fallout,2018,PG-13,147,"Action, Adventure, Thriller",7.7
761,Perfect Strangers,2016,,96,"Comedy, Drama",7.7
762,Kubo and the Two Strings,2016,PG,101,"Animation, Action, Adventure",7.7
763,A Man Called Ove,2015,PG-13,116,"Comedy, Drama, Romance",7.7
764,The Breadwinner,2017,PG-13,94,"Animation, Drama, Family",7.7
765,When Marnie Was There,2014,PG,103,"Animation, Drama, Family",7.7
766,The Theory of Everything,2014,PG-13,123,"Biography, Drama, Romance",7.7
767,Kingsman: The Secret Service,2014,R,129,"Action, Adventure, Comedy",7.7
768,The Fault in Our Stars,2014,PG-13,126,"Drama, Romance",7.7
769,Me and Earl and the Dying Girl,2015,PG-13,105,"Comedy, Drama, Romance",7.7
770,Birdman or (The Unexpected Virtue of Ignorance),2014,R,119,"Comedy, Drama",7.7
771,The Past,2013,PG-13,130,"Drama, Mystery",7.7
772,The Great Beauty,2013,Not Rated,141,Drama,7.7
773,My Life as a Zucchini,2016,PG-13,70,"Animation, Comedy, Drama",7.7
774,Blue Is the Warmest Colour,2013,NC-17,180,"Drama, Romance",7.7
775,The Broken Circle Breakdown,2012,Not Rated,111,"Drama, Music, Romance",7.7
776,The Wind Rises,2013,PG-13,126,"Animation, Biography, Drama",7.7
777,Toy Story 4,2019,G,100,"Animation, Adventure, Comedy",7.7
778,Nebraska,2013,R,115,"Adventure, Comedy, Drama",7.7
779,Wreck-It Ralph,2012,PG,101,"Animation, Adventure, Comedy",7.7
780,The Little Prince,2015,PG,108,"Animation, Adventure, Drama",7.7
781,Detachment,2011,Not Rated,98,Drama,7.7
782,Midnight in Paris,2011,PG-13,94,"Comedy, Fantasy, Romance",7.7
783,Confessions,2010,Not Rated,106,"Drama, Thriller",7.7
784,The Man from Nowhere,2010,R,119,"Action, Crime, Drama",7.7
785,The Lego Movie,2014,PG,100,"Animation, Action, Adventure",7.7
786,Guillermo del Toro's Pinocchio,2022,PG,117,"Animation, Drama, Family",7.7
787,Gravity,2013,PG-13,91,"Drama, Sci-Fi, Thriller",7.7
788,Star Trek Into Darkness,2013,PG-13,132,"Action, Adventure, Sci-Fi",7.7
789,Beasts of No Nation,2015,TV-MA,137,"Drama, War",7.7
790,X-Men: First Class,2011,PG-13,131,"Action, Adventure, Sci-Fi",7.7
791,The Hangover,2009,R,100,Comedy,7.7
792,The Trial of the Chicago 7,2020,R,129,"Drama, History, Thriller",7.7
793,Silver Linings Playbook,2012,R,122,"Comedy, Drama, Romance",7.7
794,Another Round,2020,Not Rated,117,"Comedy, Drama",7.7
795,Argo,2012,R,120,"Biography, Drama, Thriller",7.7
796,500 Days of Summer,2009,PG-13,95,"Comedy, Drama, Romance",7.7
797,Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,146,"Adventure, Family, Fantasy",7.7
798,The Boy in the Striped Pajamas,2008,PG-13,94,"Drama, War",7.7
799,The Edge of Heaven,2007,Not Rated,122,Drama,7.7
800,Frost/Nixon,2008,R,122,"Biography, Drama, History",7.7
801,Paprika,2006,R,90,"Animation, Drama, Fantasy",7.7
